Datetime,Load
2023-01-03 01:45:00,-0.1349411762374285
2023-01-03 02:00:00,-0.135051546176684
2023-01-03 02:15:00,-0.1349999997764823
2023-01-03 02:30:00,-0.1349999997764823
2023-01-03 02:45:00,-0.1349999997764823
2023-01-03 03:00:00,-0.134945054712531
2023-01-03 03:15:00,-0.1349758779573619
2023-01-03 03:30:00,-0.1350561795609718
2023-01-03 03:45:00,-0.1349999997764823
2023-01-03 04:00:00,-0.1349999997764823
2023-01-03 04:15:00,-0.1349999997764823
2023-01-03 04:30:00,-0.1349999997764823
2023-01-03 04:45:00,-0.1349999997764823
2023-01-03 05:00:00,-0.1349999997764823
2023-01-03 05:15:00,-0.1349999997764823
2023-01-03 05:30:00,-0.1349494947176988
2023-01-03 05:45:00,-0.1350537632261549
2023-01-03 06:00:00,-0.1349999997764823
2023-01-03 06:15:00,-0.1349612400802066
2023-01-03 06:30:00,-0.135007358670911
2023-01-03 06:45:00,-0.1350442475713457
2023-01-03 07:00:00,-0.1349605562117414
2023-01-03 07:15:00,-0.1349976667343967
2023-01-03 07:30:00,-0.1349999997764823
2023-01-03 07:45:00,-0.1350349648171785
2023-01-03 08:00:00,-0.1349640285475646
2023-01-03 08:15:00,-0.1349958915936795
2023-01-03 08:30:00,-2.6382000004500146
2023-01-03 08:45:00,-9.2814236
2023-01-03 09:00:00,-8.2513388
2023-01-03 09:15:00,-3.37207827
2023-01-03 09:30:00,-0.811742
2023-01-03 09:45:00,-0.6979936729999999
2023-01-03 10:00:00,1.4348797022553774
2023-01-03 10:15:00,0.8986317388273066
2023-01-03 10:30:00,-1.00089062
2023-01-03 10:45:00,-0.1539622675755814
2023-01-03 11:00:00,7.986908752905233
2023-01-03 11:15:00,10.57819257873086
2023-01-03 11:30:00,12.052461454475836
2023-01-03 11:45:00,26.920843037340177
2023-01-03 12:00:00,49.58274899746496
2023-01-03 12:15:00,70.01286892850821
2023-01-03 12:30:00,82.94453633569633
2023-01-03 12:45:00,55.399153959979856
2023-01-03 13:00:00,46.76948000131407
2023-01-03 13:15:00,61.288247550407135
2023-01-03 13:30:00,66.77108745889042
2023-01-03 13:45:00,65.11154603290305
2023-01-03 14:00:00,72.7760828193752
2023-01-03 14:15:00,163.7164116137501
2023-01-03 14:30:00,172.67522801181724
2023-01-03 14:45:00,194.74208253499663
2023-01-03 15:00:00,94.04909508530024
2023-01-03 15:15:00,57.23671195268518
2023-01-03 15:30:00,31.90849675644069
2023-01-03 15:45:00,28.029944098186007
2023-01-03 16:00:00,37.06942968873946
2023-01-03 16:15:00,56.51424397310317
2023-01-03 16:30:00,21.77118270780328
